J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
1.0,-,9,3847.87568,2,2,-1.0,1.0,0.0,2.25,3847.917941144283,-0.04226114428274741,9,2,2,-1.0,1.0,0.0,True,,1.2e-05
1.0,-,11,5403.59787,2,3,-1.0,0.0,-1.0,1.0,5403.570755217221,0.027114782778880908,11,2,3,-1.0,0.0,-1.0,True,,5.4e-06
1.0,-,12,5419.15671,2,3,-1.0,1.0,0.0,0.81,5419.16263469301,-0.0059246930095469,12,2,3,-1.0,1.0,0.0,True,,4.4e-06
1.0,-,15,6951.56999,2,4,-1.0,0.0,-1.0,0.09,6951.513894532105,0.05609546789492015,15,2,4,-1.0,0.0,-1.0,True,,4.8e-07
1.0,-,16,6967.10868,2,4,-1.0,1.0,0.0,0.25,6967.087210816877,0.021469183123372204,16,2,4,-1.0,1.0,0.0,True,,1.3e-06
1.0,-,20,8271.60685,3,0,-1.0,0.0,-1.0,196.0,8271.594201055443,0.0126489445574407,20,3,0,-1.0,0.0,-1.0,True,,0.0011
1.0,-,21,8476.1853,2,5,-1.0,0.0,-1.0,0.49,8476.156897998686,0.0284020013132249,21,2,5,-1.0,0.0,-1.0,True,,2.6e-06
1.0,-,22,8491.76192,2,5,-1.0,1.0,0.0,1.21,8491.718567802189,0.04335219781205524,22,2,5,-1.0,1.0,0.0,True,,6.5e-06
1.0,-,26,9280.21579,5,0,0.0,-1.0,-1.0,400.0,9280.215100531024,0.0006894689759064931,26,5,0,0.0,-1.0,-1.0,True,,0.0022
1.0,-,27,9855.61511,3,1,-1.0,0.0,-1.0,1.96,9855.609506557295,0.005603442705250927,27,3,1,-1.0,0.0,-1.0,True,,1.1e-05
1.0,-,28,9977.59117,2,6,-1.0,0.0,-1.0,0.04,9977.478615124666,0.11255487533344422,28,2,6,-1.0,0.0,-1.0,True,,2.2e-07
1.0,-,29,9992.94943,2,6,-1.0,1.0,0.0,0.09,9993.021044178438,-0.07161417843781237,29,2,6,-1.0,1.0,0.0,True,,4.8e-07
1.0,-,33,11312.05232,5,1,0.0,-1.0,-1.0,5.29,11312.027031537962,0.025288462038588477,33,5,1,0.0,-1.0,-1.0,True,,2.8e-05
1.0,-,34,11415.41218,3,2,-1.0,0.0,-1.0,2.25,11415.440492186295,-0.028312186295806896,34,3,2,-1.0,0.0,-1.0,True,,1.2e-05
1.0,-,35,11455.03176,2,7,-1.0,0.0,-1.0,0.25,11455.487349944995,-0.45558994499515393,35,2,7,-1.0,0.0,-1.0,True,,1.3e-06
1.0,-,36,11470.86937,2,7,-1.0,1.0,0.0,0.25,11470.957661283435,-0.0882912834349554,36,2,7,-1.0,1.0,0.0,True,,1.3e-06
1.0,-,40,12910.03547,2,8,-1.0,0.0,-1.0,0.25,12909.95511917008,0.08035082992137177,40,2,8,-1.0,0.0,-1.0,True,,1.3e-06
1.0,-,41,12925.80892,2,8,-1.0,1.0,0.0,0.09,12925.501460430822,0.3074595691778086,41,2,8,-1.0,1.0,0.0,True,,4.8e-07
1.0,-,42,12950.93001,3,3,-1.0,0.0,-1.0,1.96,12950.923487071665,0.006522928335471079,42,3,3,-1.0,0.0,-1.0,True,,1.1e-05
1.0,-,45,13314.97748,5,2,0.0,-1.0,-1.0,1.21,13315.240840768929,-0.2633607689294877,45,5,2,0.0,-1.0,-1.0,True,,6.5e-06
