J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
1.0,-,2,3,5403.59787,1.0,5403.570755970257,5403.570755217221,-7.530361472163349e-07,False
1.0,-,2,3,5419.15671,0.81,5419.162634371942,5419.16263469301,3.210680006304756e-07,False
1.0,-,2,4,6951.56999,0.09,6951.513897133676,6951.513894532105,-2.6015713956439868e-06,False
1.0,-,2,4,6967.10868,0.25,6967.087210942221,6967.087210816877,-1.2534383131423965e-07,False
1.0,-,3,0,8271.60685,196.0,8271.594198770723,8271.594201055443,2.2847198124509305e-06,False
1.0,-,2,5,8476.1853,0.49,8476.156903718853,8476.156897998686,-5.720166882383637e-06,False
1.0,-,2,5,8491.76192,1.21,8491.718567211135,8491.718567802189,5.910533218411729e-07,False
1.0,-,5,0,9280.21579,400.0,9280.215042260425,9280.215100531024,5.82705997658195e-05,False
1.0,-,3,1,9855.61511,1.96,9855.609505524471,9855.609506557295,1.0328240023227409e-06,False
1.0,-,2,6,9977.59117,0.04,9977.47862134841,9977.478615124666,-6.223743184818886e-06,False
1.0,-,2,6,9992.94943,0.09,9993.021044338706,9993.021044178438,-1.6026751836761832e-07,False
1.0,-,5,1,11312.05232,5.29,11312.02706549137,11312.027031537962,-3.395340718270745e-05,False
1.0,-,3,2,11415.41218,2.25,11415.440491981864,11415.440492186295,2.0443076209630817e-07,False
1.0,-,2,7,11455.03176,0.25,11455.487323887362,11455.487349944995,2.6057632567244582e-05,False
1.0,-,2,7,11470.86937,0.25,11470.957661611657,11470.957661283435,-3.2822208595462143e-07,False
1.0,-,2,8,12910.03547,0.25,12909.955136372959,12909.95511917008,-1.7202879462274723e-05,False
1.0,-,2,8,12925.80892,0.09,12925.501459899737,12925.501460430822,5.310848791850731e-07,False
1.0,-,3,3,12950.93001,1.96,12950.923484947361,12950.923487071665,2.1243031369522214e-06,False
1.0,-,5,2,13314.97748,1.21,13315.240797560004,13315.240840768929,4.3208925490034744e-05,False
1.0,-,2,9,14341.26586,0.03,14341.169227954535,14341.169227638344,-3.1619129003956914e-07,False
1.0,-,2,9,14356.50888,0.0059,14356.679235432957,14356.679235210479,-2.2247877495829016e-07,False
1.0,-,3,4,14462.10991,0.81,14462.067300326686,14462.067301165147,8.38461346575059e-07,False
1.0,-,5,3,15287.93752,2.56,15287.969207915268,15287.969208975368,1.060099748428911e-06,False
1.0,-,2,10,15749.18827,0.0013,15749.12164080577,15749.12164830882,7.503049346269108e-06,False
1.0,-,2,10,15764.5021,0.0013,15764.59384019232,15764.593840123891,-6.842856237199157e-08,False
1.0,-,3,5,15948.88012,0.16,15948.813714906159,15948.813716449726,1.5435671230079606e-06,False
1.0,-,2,11,17133.74118,0.0044,17133.793540551418,17133.793533143522,-7.407896191580221e-06,False
1.0,-,2,11,17149.03905,0.0011,17149.432251650785,17149.432252136237,4.854518920183182e-07,False
1.0,-,3,6,17411.1295,0.04,17411.05791471018,17411.05791703458,2.32439924729988e-06,False
1.0,-,3,7,18848.79097,0.01,18848.685675944118,18848.685675363733,-5.803849489893764e-07,False
1.0,-,5,5,19139.23084,1.0,19139.29581235771,19139.295829850926,1.7493217455921695e-05,False
1.0,-,2,13,19832.98979,0.0009,19835.630106886736,19835.630106305212,-5.815236363559961e-07,False
1.0,-,5,6,21014.50778,0.36,21014.584908993154,21014.584879733662,-2.9259492293931544e-05,False
1.0,-,3,9,21649.98402,0.0015,21649.783981621884,21649.783994362122,1.274023816222325e-05,False
1.0,-,5,7,22853.73672,0.36,22853.8132229773,22853.813231549684,8.572384103899822e-06,False
1.0,-,3,10,23013.2947,0.0013,23013.042150713,23013.04215866752,7.95451705926098e-06,False
1.0,-,3,11,24351.5847,0.0011,24351.304662593386,24351.304660511712,-2.0816733012907207e-06,False
1.0,-,3,12,25664.72351,0.0038,25664.458769403394,25664.458760263526,-9.139868780039251e-06,False
1.0,-,3,13,26952.55153,0.0034,26952.371848090268,26952.37184175483,-6.3354382291436195e-06,False
1.0,-,3,14,28214.90407,0.0008,28214.884567364534,28214.884566104553,-1.259981218026951e-06,False
1.0,-,3,15,29451.57549,0.0028,29451.797475196505,29451.79747848133,3.284825652372092e-06,False
1.0,-,3,16,30662.3611,0.0006,30662.875337800026,30662.875340228496,2.4284709070343524e-06,False
2.0,+,1,0,10.87522,676.0,10.866349386389,10.866349386205,-1.8400037049559614e-10,False
2.0,+,1,1,1838.23872,110.24,1838.238366369764,1838.238366531306,1.6154194781847764e-07,False
2.0,+,1,2,3637.32674,7.29,3637.308777165574,3637.308777856872,6.91297827870585e-07,False
2.0,+,1,3,5407.21821,1.96,5407.141436175495,5407.141437651262,1.4757670214748941e-06,False
2.0,+,4,0,6250.33028,529.0,6250.347273234336,6250.347273103173,-1.3116277841618285e-07,False
2.0,+,4,0,6265.18371,529.0,6265.250325079484,6265.250324948503,-1.3098178897053003e-07,False
2.0,+,1,4,7146.76412,2.25,7146.618839544933,7146.618841061385,1.5164523574640043e-06,False
2.0,+,4,1,7698.42414,4.84,7698.442444149366,7698.44244393318,-2.1618598111672327e-07,False
2.0,+,4,1,7713.11601,3.61,7713.181399608214,7713.18139939255,-2.156639311579056e-07,False
2.0,+,1,5,8854.41408,3.24,8854.244649547694,8854.244650396979,8.492843335261568e-07,False
2.0,+,4,2,9124.3528,5.29,9124.415425264166,9124.415425149238,-1.149273884948343e-07,False
2.0,+,4,2,9138.87881,4.0,9138.990241391752,9138.99024127613,-1.1562224244698882e-07,False
2.0,+,1,6,10527.54868,4.0,10527.564562442474,10527.564562607931,1.6545709513593465e-07,False
2.0,+,4,3,10528.69598,2.89,10528.663297818432,10528.6632974988,-3.1963099900167435e-07,False
2.0,+,4,3,10542.57465,1.69,10542.682264696723,10542.682264428244,-2.684791979845613e-07,False
2.0,+,7,0,11867.82519,36.0,11867.8148207693,11867.814822119233,1.3499338820111006e-06,False
2.0,+,4,4,11910.0031,0.49,11910.025721069269,11910.025720932153,-1.3711542123928666e-07,False
2.0,+,4,4,11924.19807,0.25,11924.271000821684,11924.271000677976,-1.4370743883773685e-07,False
2.0,+,1,7,12164.9951,0.81,12165.06720419253,12165.067204139263,-5.326728569343686e-08,False
2.0,+,7,1,13252.26534,0.16,13252.275816262445,13252.275816102601,-1.5984369383659214e-07,False
2.0,+,4,5,13269.88317,0.09,13269.861312010456,13269.86131183214,-1.7831735021900386e-07,False
2.0,+,4,5,13283.91745,0.25,13283.942433015985,13283.942432824506,-1.9147955754306167e-07,False
2.0,+,1,8,13761.28004,0.36,13761.31719762348,13761.317197975319,3.518380253808573e-07,False
