state,r_angstrom,supplied_cm,refined_cm
1,1.6709341117597998,20851.329199992673,20851.33209688033
1,1.6730608840700585,20939.496206041636,20939.50163482774
1,1.675187656380317,21027.2672072311,21027.27520798171
1,1.6773144286905755,21114.655988585364,21114.666602351263
1,1.679441201000834,21201.67584170208,21201.689110386174
1,1.6815679733110924,21288.33956499256,21288.35553122343
1,1.6836947456213511,21374.659466170702,21374.678173182532
1,1.6858215179316096,21460.647366713678,21460.66885823257
1,1.6879482902418683,21546.31460803537,21546.3389281722
1,1.6900750625521268,21631.672059132026,21631.699252281654
1,1.6922018348623853,21716.73012547841,21716.7602362252
1,1.6943286071726438,21801.498758971276,21801.53183200079
1,1.6964553794829023,21885.987468735522,21886.023548752164
1,1.698582151793161,21970.205332625934,21970.24446427639
1,1.7007089241034195,22054.16100927421,22054.2032370764
1,1.7028356964136782,22137.862750547352,22137.90811882471
1,1.7049624687239366,22221.318414298083,22221.366967118847
1,1.7070892410341951,22304.535477302252,22304.587258423573
1,1.7092160133444536,22387.52104829096,22387.576101107552
1,1.711342785654712,22470.281880997172,22470.34024849419
1,1.7134695579649708,22552.824387147255,22552.886111857293
1,1.7155963302752293,22635.154649338027,22635.219773301782
1,1.717723102585488,22717.278433748543,22717.346998479134
1,1.7198498748957465,22799.20120264408,22799.27324909462
1,1.721976647206005,22880.92812663693,22881.0036951712
1,1.7241034195162634,22962.464096674943,22962.543227040976
1,1.726230191826522,23043.813735734573,23043.8964670409
1,1.7283569641367806,23124.981410200107,23125.067780894537
1,1.7304837364470391,23205.971240915183,23206.06128876585
1,1.7326105087572978,23286.78711389673,23286.88087597534
1,1.7347372810675563,23367.432690704405,23367.530203371465
1,1.7368640533778148,23447.911418462158,23448.012717354024
1,1.7389908256880733,23528.22653953027,23528.33165954793
1,1.7411175979983318,23608.38110082916,23608.490076128583
1,1.7432443703085905,23688.37796281732,23688.490826801255
1,1.745371142618849,23768.219808127866,23768.33659343899
1,1.7474979149291077,23847.909149869123,23848.02988838445
1,1.7496246872393661,23927.448339595678,23927.573062422063
1,1.7517514595496246,24006.83957495753,24006.96831242823
1,1.7538782318598831,24086.08490703513,24086.21768870741
1,1.7560050041701416,24165.186247369187,24165.323102022674
1,1.7581317764804003,24244.145374693926,24244.28633032992
1,1.7602585487906588,24322.963941383285,24323.10902522472
1,1.7623853211009175,24401.64347961941,24401.79271811158
1,1.764512093411176,24480.185407292924,24480.338826104777
1,1.7666388657214345,24558.59103364463,24558.748657670665
1,1.768765638031693,24636.861564658077,24637.02341802081
1,1.7708924103419514,24714.99810821248,24715.164214265344
1,1.7730191826522101,24793.00167900533,24793.172060336037
1,1.7751459549624686,24870.873203253705,24871.047881688028
1,1.7772727272727273,24948.613523183456,24948.792519789367
1,1.7793994995829858,25026.223401314728,25026.40673640689
1,1.7815262718932443,25103.70352455262,25103.891217697183
1,1.7836530442035028,25181.054508091,25181.24657811068
1,1.7857798165137613,25258.276899137618,25258.47336411703
1,1.78790658882402,25335.371180468246,25335.572057759488
1,1.7900333611342787,25412.337773817253,25412.54308004564
1,1.7921601334445372,25489.17704311191,25489.38679418203
1,1.7942869057547957,25565.889297557398,25566.10350865921
1,1.7964136780650541,25642.474794579055,25642.693480194186
1,1.7985404503753126,25718.93374262838,25719.156916536616
1,1.8006672226855711,25795.266303859018,25795.493979144856
1,1.8027939949958298,25871.472596678475,25871.704785737813
1,1.8049207673060885,25947.55269818134,25947.789412728274
1,1.807047539616347,26023.50664646939,26023.747897543108
1,1.8091743119266055,26099.334442863856,26099.5802408356
1,1.811301084236864,26175.036054014585,26175.286408594664
1,1.8134278565471225,26250.61141391111,26250.866334156028
1,1.815554628857381,26326.060425799973,26326.319920119586
1,1.8176814011676397,26401.38296401275,26401.647040177406
1,1.8198081734778984,26476.57887570873,26476.84754085658
1,1.8219349457881568,26551.647982536448,26551.92124318065
1,1.8240617180984153,26626.590082217615,26626.867944253703
1,1.8261884904086738,26701.40495005715,26701.687418770252
1,1.8283152627189323,26776.0923403826,26776.379420454865
1,1.830442035029191,26850.65198791645,26850.943683434343
1,1.8325688073394495,26925.08360908419,26925.37992354583
1,1.8346955796497082,26999.386903261206,26999.68783958375
1,1.8368223519599667,27073.561553961335,27073.867114488312
1,1.8389491242702252,27147.60722996977,27147.917416478445
1,1.8410758965804837,27221.523586422813,27221.838400131488
1,1.8432026688907421,27295.310265837008,27295.629707412372
1,1.8453294412010008,27368.966899089908,27369.290968654364
1,1.8474562135112593,27442.493106354766,27442.821803493673
1,1.849582985821518,27515.88849799117,27516.221821760184
1,1.8517097581317765,27589.152675393732,27589.49062432601
1,1.853836530442035,27662.2852318007,27662.627803914147
1,1.8559633027522935,27735.285753064287,27735.632945868765
1,1.858090075062552,27808.15381838452,27808.505628889026
1,1.8602168473728105,27880.889001008236,27881.245425728033
1,1.8623436196830694,27953.490868894824,27953.851903858555
1,1.8644703919933279,28025.958985350102,28026.324626106907
1,1.8665971643035864,28098.29290963005,28098.663151256565
1,1.8687239366138448,28170.492197515403,28170.867034622814
1,1.8708507089241033,28242.55640185866,28242.93582859967
1,1.8729774812343618,28314.485073104668,28314.869083180416
1,1.8751042535446203,28386.27775978598,28386.666346452952
1,1.8772310258548792,28457.93400899403,28458.327165070958
1,1.8793577981651377,28529.453366827383,28529.851084701993
1,1.8814845704753962,28600.835378817923,28601.237650453757
1,1.8836113427856547,28672.079590335983,28672.48640727913
1,1.8857381150959132,28743.18554697545,28743.596900361244
1,1.8878648874061716,28814.152794919577,28814.56867547921
1,1.8899916597164301,28884.980881288513,28885.401279355698
1,1.892118432026689,28955.669354469283,28956.094259986734
1,1.8942452043369475,29026.217764428853,29026.647166954852
1,1.896371976647206,29096.6256630114,29097.059551726255
1,1.8984987489574645,29166.892604220036,29167.33096793249
1,1.900625521267723,29237.01814448396,29237.460971637553
1,1.9027522935779815,29307.001842911613,29307.449121591017
1,1.90487906588824,29376.84326153031,29377.29497946761
1,1.907005838198499,29446.541965513232,29446.998110094122
1,1.9091326105087574,29516.097523393924,29516.558081663905
1,1.9112593828190159,29585.50950726926,29585.974465939762
1,1.9133861551292743,29654.77749299112,29655.24683844556
1,1.9155129274395328,29723.901060347245,29724.374778647114
1,1.9176396997497913,29792.879793231954,29793.35787012272
1,1.9197664720600498,29861.713279806954,29862.195700724027
1,1.9218932443703087,29930.40111265279,29930.887862727373
1,1.9240200166805672,29998.94288891121,29999.433952976153
1,1.9261467889908257,30067.338210419075,30067.833573014646
1,1.9282735613010842,30135.586683833953,30136.086329213522
1,1.9304003336113427,30203.687920751778,30204.191832887507
1,1.9325271059216012,30271.641537817046,30272.149700405538
1,1.9346538782318596,30339.44715682579,30339.95955329363
1,1.9367806505421186,30407.104404821683,30407.621018330923
1,1.938907422852377,30474.61291418535,30475.133727639037
1,1.9410341951626355,30541.972322717666,30542.497318765214
