J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
2.0,+,54,13269.88317,4,5,0.0,1.0,1.0,0.09,13269.8455,0.037669999999707215,54,4,5,0.0,1.0,1.0,True,,4.8e-07
2.0,+,55,13283.91745,4,5,0.0,0.0,0.0,0.25,13283.9193,-0.0018499999987398041,55,4,5,0.0,0.0,0.0,True,,1.3e-06
2.0,+,57,13761.28004,1,8,0.0,0.0,0.0,0.36,13761.2682,0.011839999999210704,57,1,8,0.0,0.0,0.0,True,,1.9e-06
2.0,+,62,14607.91028,4,6,0.0,1.0,1.0,0.09,14607.8523,0.05797999999958847,62,4,6,0.0,1.0,1.0,True,,4.8e-07
2.0,+,63,14613.83544,7,2,2.0,0.0,2.0,0.25,14613.8424,-0.006959999998798594,63,7,2,2.0,0.0,2.0,True,,1.3e-06
2.0,+,64,14621.78804,4,6,0.0,0.0,0.0,0.16,14621.761,0.02703999999903317,64,4,6,0.0,0.0,0.0,True,,8.6e-07
2.0,+,65,15205.35907,8,0,0.0,0.0,0.0,25.0,15205.3806,-0.021529999999984284,65,8,0,0.0,0.0,0.0,True,,0.00013
2.0,+,67,15312.6264,1,9,0.0,0.0,0.0,0.0133,15310.8283,1.7980999999999767,67,1,9,0.0,0.0,0.0,True,,7.2e-08
2.0,+,71,15924.1905,4,7,0.0,1.0,1.0,0.04,15924.1506,0.03989999999976135,71,4,7,0.0,1.0,1.0,True,,2.2e-07
2.0,+,72,15937.95501,4,7,0.0,0.0,0.0,0.04,15937.8942,0.060809999999037245,72,4,7,0.0,0.0,0.0,True,,2.2e-07
2.0,+,73,15952.60006,7,3,2.0,0.0,2.0,0.25,15952.5843,0.015760000000227592,73,7,3,2.0,0.0,2.0,True,,1.3e-06
2.0,+,75,16625.7787,8,1,0.0,0.0,0.0,0.16,16625.7874,-0.008700000002136221,75,8,1,0.0,0.0,0.0,True,,8.6e-07
