source_index,J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,ef
192,28.0,+,9,6495.8081501,1,8,0.0,0.0,0.0,1.0,6495.808179350909,-2.9250909392430913e-05,e
193,29.0,-,1,477.7014795,1,0,0.0,0.0,0.0,1.0,477.701040233049,0.0004392669509911684,e
194,29.0,-,2,1266.0848307,1,1,0.0,0.0,0.0,1.0,1266.087363399595,-0.0025326995948944386,e
195,29.0,-,3,2044.9736118,1,2,0.0,0.0,0.0,1.0,2044.974806611924,-0.0011948119238240906,e
196,29.0,-,4,2814.484526,1,3,0.0,0.0,0.0,1.0,2814.484095868469,0.00043013153117499314,e
197,29.0,-,5,3574.7321414,1,4,0.0,0.0,0.0,1.0,3574.731488717121,0.0006526828788082639,e
198,29.0,-,6,4325.8307682,1,5,0.0,0.0,0.0,1.0,4325.830705610909,6.258909161260817e-05,e
199,29.0,-,7,5067.8950096,1,6,0.0,0.0,0.0,1.0,5067.894451367822,0.0005582321782640065,e
200,29.0,-,8,5801.0362072,1,7,0.0,0.0,0.0,1.0,5801.035571766808,0.0006354331917464151,e
201,29.0,-,10,7240.9990395,1,9,0.0,0.0,0.0,1.0,7241.006774611586,-0.007735111585134291,e
202,30.0,+,1,510.5880594,1,0,0.0,0.0,0.0,1.0,510.587479800244,0.0005795997560085198,e
203,30.0,+,2,1298.6745136,1,1,0.0,0.0,0.0,1.0,1298.676913000038,-0.002399400038029853,e
204,30.0,+,3,2077.2688249,1,2,0.0,0.0,0.0,1.0,2077.26968462173,-0.0008597217301939963,e
205,30.0,+,4,2846.4869554,1,3,0.0,0.0,0.0,1.0,2846.486464020894,0.0004913791062790551,e
206,30.0,+,5,3606.4443206,1,4,0.0,0.0,0.0,1.0,3606.443474425671,0.0008461743291263701,e
207,30.0,+,6,4357.2549611,1,5,0.0,0.0,0.0,1.0,4357.254422946923,0.0005381530772865517,e
