J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
21,4,False,1,5,5,9.094947017729282e-11
21,5,False,1,6,6,7.639755494892597e-11
21,6,False,1,7,7,4.3655745685100555e-11
21,7,False,1,8,8,-8.36735125631094e-11
21,8,False,1,9,9,1.8189894035458565e-11
21,9,False,1,10,10,-7.639755494892597e-11
21,10,False,1,11,11,1.0550138540565968e-10
21,11,False,1,12,12,1.4551915228366852e-11
21,12,False,1,13,13,1.127773430198431e-10
21,13,False,1,14,14,6.548361852765083e-11
21,14,False,1,15,15,-5.820766091346741e-11
21,15,False,1,16,16,-2.1827872842550278e-11
21,16,False,1,17,17,0.0
21,17,True,1,18,19,0.07119410453015007
22,0,False,1,1,1,-3.001332515850663e-11
22,1,False,1,2,2,7.821654435247183e-11
22,2,False,1,3,3,-1.4551915228366852e-11
22,3,False,1,4,4,-3.2741809263825417e-11
22,4,False,1,5,5,1.7462298274040222e-10
22,5,False,1,6,6,7.275957614183426e-11
22,6,False,1,7,7,-1.0913936421275139e-10
22,7,False,1,8,8,-6.912159733474255e-11
22,8,False,1,9,9,2.1827872842550278e-11
22,9,False,1,10,10,-1.0550138540565968e-10
22,10,False,1,11,11,7.275957614183426e-11
22,11,False,1,12,12,2.546585164964199e-11
22,12,False,1,13,13,4.001776687800884e-11
22,13,False,1,14,14,5.820766091346741e-11
22,14,False,1,15,15,-1.0186340659856796e-10
22,15,False,1,16,16,-8.731149137020111e-11
22,16,False,1,17,17,-1.0186340659856796e-10
22,17,True,1,19,19,-2.4411987575367675
23,0,False,1,1,1,5.184119800105691e-11
23,1,False,1,2,2,2.0190782379359007e-10
23,2,False,1,3,3,-1.1641532182693481e-10
23,3,False,1,4,4,-1.127773430198431e-10
23,4,False,1,5,5,1.6370904631912708e-10
23,5,False,1,6,6,1.0186340659856796e-10
23,6,False,1,7,7,7.639755494892597e-11
23,7,False,1,8,8,-6.548361852765083e-11
23,8,False,1,9,9,1.4551915228366852e-11
23,9,False,1,10,10,-5.820766091346741e-11
23,10,False,1,11,11,5.093170329928398e-11
23,11,False,1,12,12,4.3655745685100555e-11
23,12,False,1,13,13,-1.0913936421275139e-11
23,13,False,1,14,14,-7.275957614183426e-12
23,14,False,1,15,15,-8.003553375601768e-11
23,15,False,1,16,16,-1.4551915228366852e-11
23,16,True,1,17,17,-2.6193447411060333e-10
23,17,True,1,20,20,-20.796663102621096
24,0,False,1,1,1,-2.4556356947869062e-11
24,1,False,1,2,2,2.9103830456733704e-11
24,2,False,1,3,3,5.638867150992155e-11
24,3,False,1,4,4,-5.820766091346741e-11
24,4,False,1,5,5,9.458744898438454e-11
24,5,False,1,6,6,8.731149137020111e-11
24,6,False,1,7,7,5.093170329928398e-11
24,7,False,1,8,8,-5.4569682106375694e-11
24,8,False,1,9,9,-1.4551915228366852e-11
24,9,False,1,10,10,-2.546585164964199e-11
24,10,False,1,11,11,1.2005330063402653e-10
24,11,False,1,12,12,5.4569682106375694e-11
24,12,False,1,13,13,6.548361852765083e-11
24,13,False,1,14,14,2.1827872842550278e-11
24,14,False,1,15,15,-6.548361852765083e-11
24,15,False,1,16,16,-2.1827872842550278e-11
24,16,True,1,17,17,-4.844332579523325e-08
25,0,False,1,1,1,3.637978807091713e-12
25,1,False,1,2,2,1.3460521586239338e-10
25,2,False,1,3,3,1.0913936421275139e-11
25,3,False,1,4,4,-5.4569682106375694e-11
25,4,False,1,5,5,1.0913936421275139e-11
25,5,False,1,6,6,1.0913936421275139e-10
25,6,False,1,7,7,4.001776687800884e-11
25,7,False,1,8,8,-5.4569682106375694e-11
25,8,False,1,9,9,-8.003553375601768e-11
25,9,False,1,10,10,-2.1827872842550278e-11
25,10,False,1,11,11,1.0186340659856796e-10
25,11,False,1,12,12,-3.2741809263825417e-11
25,12,False,1,13,13,8.731149137020111e-11
25,13,False,1,14,14,2.9103830456733704e-11
25,14,False,1,15,15,-1.4551915228366852e-11
25,15,False,1,16,16,0.0
25,16,True,1,17,17,-0.0002431462999084033
26,0,False,1,1,1,4.547473508864641e-11
26,1,False,1,2,2,-4.001776687800884e-11
26,2,False,1,3,3,1.2187229003757238e-10
26,3,False,1,4,4,-1.6552803572267294e-10
26,4,False,1,5,5,9.094947017729282e-11
26,5,False,1,6,6,5.820766091346741e-11
26,6,False,1,7,7,-1.0913936421275139e-10
26,7,False,1,8,8,-5.820766091346741e-11
26,8,False,1,9,9,-6.548361852765083e-11
26,9,False,1,10,10,-4.3655745685100555e-11
26,10,False,1,11,11,1.4551915228366852e-11
26,11,False,1,12,12,5.093170329928398e-11
26,12,False,1,13,13,-1.4551915228366852e-11
26,13,False,1,14,14,-2.9103830456733704e-11
26,14,False,1,15,15,-1.4551915228366852e-11
26,15,False,1,16,16,-2.9103830456733704e-11
26,16,True,1,18,18,-0.1779812391323503
27,0,False,1,1,1,-5.4569682106375694e-12
27,1,False,1,2,2,1.709850039333105e-10
27,2,False,1,3,3,1.000444171950221e-10
27,3,False,1,4,4,-1.2732925824820995e-10
27,4,False,1,5,5,1.3460521586239338e-10
27,5,False,1,6,6,7.639755494892597e-11
27,6,False,1,7,7,7.275957614183426e-12
27,7,False,1,8,8,0.0
27,8,False,1,9,9,-5.4569682106375694e-11
27,9,False,1,10,10,4.3655745685100555e-11
27,10,False,1,11,11,1.4551915228366852e-11
27,11,False,1,12,12,5.093170329928398e-11
27,12,False,1,13,13,2.9103830456733704e-11
27,13,False,1,14,14,-4.3655745685100555e-11
27,14,False,1,15,15,1.4551915228366852e-11
27,15,True,1,16,16,0.0
27,16,True,1,19,19,-4.203136227617506
28,0,False,1,1,1,1.2732925824820995e-11
28,1,False,1,2,2,-8.549250196665525e-11
28,2,False,1,3,3,1.8189894035458565e-10
28,3,False,1,4,4,-6.548361852765083e-11
28,4,False,1,5,5,5.4569682106375694e-11
28,5,False,1,6,6,8.731149137020111e-11
28,6,False,1,7,7,-6.184563972055912e-11
28,7,False,1,8,8,7.639755494892597e-11
28,8,False,1,9,9,-1.5643308870494366e-10
28,9,False,1,10,10,2.9103830456733704e-11
28,10,False,1,11,11,8.731149137020111e-11
28,11,False,1,12,12,4.3655745685100555e-11
28,12,False,1,13,13,4.3655745685100555e-11
28,13,False,1,14,14,-8.003553375601768e-11
28,14,False,1,15,15,2.1827872842550278e-11
28,15,True,1,16,16,-1.4042598195374012e-09
28,16,True,1,19,20,3.4644930488721
29,0,False,1,1,1,-6.912159733474255e-11
29,1,False,1,2,2,1.0186340659856796e-10
29,2,False,1,3,3,1.382431946694851e-10
29,3,False,1,4,4,-1.3096723705530167e-10
29,4,False,1,5,5,-1.2005330063402653e-10
29,5,False,1,6,6,2.1827872842550278e-11
29,6,False,1,7,7,-5.820766091346741e-11
29,7,False,1,8,8,1.5643308870494366e-10
