v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
8,9,1.0000000000000004,False,4.8111999999999995,37198.083264508714,4,20356.451431,20356.42542345668,0.026007543321611593,14.907119849998598,6.548361852765083e-11
9,10,1.0,False,4.8111999999999995,37198.083264508714,4,22405.738755,22405.715601732776,0.023153267222369323,14.14213562373095,-1.2005330063402653e-10
10,11,0.9999999999999999,False,4.8111999999999995,37198.083264508714,4,24345.404139,24345.44498696693,-0.040847966931323754,13.48399724926484,2.9103830456733704e-11
11,12,0.9999999999999999,False,4.8111999999999995,37198.083264508714,4,26171.755092,26171.84638284976,-0.09129084975938895,12.909944487358057,4.001776687800884e-11
12,13,1.0,False,4.8111999999999995,37198.083264508714,4,27879.815674,27879.91481763129,-0.09914363128700643,12.403473458920844,-1.709850039333105e-10
13,14,1.0,False,4.8111999999999995,37198.083264508714,4,29463.040085,29463.102126725975,-0.06204172597426805,11.952286093343936,-8.003553375601768e-11
14,15,1.0000000000000004,False,4.8111999999999995,37198.083264508714,4,30912.893061,30912.87813303344,0.014927966560208006,11.547005383792515,-1.127773430198431e-10
15,16,0.9999999999999996,False,4.8111999999999995,37198.083264508714,4,32218.121157,32218.053951983267,0.06720501673407853,11.180339887498947,-3.2741809263825417e-11
16,17,1.0,False,4.8111999999999995,37198.083264508714,4,33363.765996,33363.6605692991,0.10542670090217143,10.846522890932809,-3.637978807091713e-11
17,18,0.9999999999999991,False,4.8111999999999995,37198.083264508714,4,34329.063365,34328.92720330261,0.13616169738816097,10.540925533894598,-5.093170329928398e-11
0,1,1.0000000000000002,False,4.6464,37205.789884230515,5,312.7311,312.731504518048,-0.0004045180479579358,40.824829046386306,-1.1192469173693098e-10
1,2,1.0000000000000002,False,4.6464,37205.789884230515,5,3189.593067,3189.612426196495,-0.0193591964953157,28.867513459481287,-3.356035449542105e-10
2,3,1.0000000000000002,False,4.6464,37205.789884230515,5,5962.557379,5962.54782080346,0.00955819653972867,23.57022603955159,-2.964952727779746e-10
3,4,1.0000000000000004,False,4.6464,37205.789884230515,5,8632.361833,8632.34564482826,0.01618817174130527,20.412414523193153,-1.2732925824820995e-10
4,5,1.0,False,4.6464,37205.789884230515,5,11199.452059,11199.441769483303,0.010289516696502687,18.257418583505537,-4.547473508864641e-11
5,6,1.0000000000000004,False,4.6464,37205.789884230515,5,13663.939283,13663.922523538995,0.016759461004767218,16.66666666666667,6.912159733474255e-11
6,7,1.0,False,4.6464,37205.789884230515,5,16025.538624,16025.499771559753,0.03885244024786516,15.430334996209192,-4.9112713895738125e-11
7,8,0.9999999999999998,False,4.6464,37205.789884230515,5,18283.467984,18283.442574297555,0.025409702444449067,14.433756729740644,-6.184563972055912e-11
8,9,1.0,False,4.6464,37205.789884230515,5,20436.497728,20436.474070168417,0.023657831581658684,13.608276348795435,-2.4010660126805305e-10
9,10,0.9999999999999999,False,4.6464,37205.789884230515,5,22482.662729,22482.641144883295,0.021584116704616463,12.909944487358057,-1.5279510989785194e-10
10,11,0.9999999999999996,False,4.6464,37205.789884230515,5,24419.118229,24419.159447416296,-0.041218416296032956,12.309149097933274,-7.275957614183426e-11
11,12,1.0,False,4.6464,37205.789884230515,5,26242.1393,26242.228372419493,-0.08907241949418676,11.785113019775794,-3.5652192309498787e-10
12,13,1.0,False,4.6464,37205.789884230515,5,27946.704724,27946.799694260706,-0.09497026070675929,11.322770341445958,-1.4551915228366852e-10
