r_angstrom,potential_cm
2.12725,25440.124319870894
2.133,25587.490537263864
2.13875,25733.64761785568
2.1445,25878.594226597575
2.1502499999999998,26022.32924316883
2.1559999999999997,26164.85175942585
2.16175,26306.161076885506
2.1675,26446.256704238647
2.17325,26585.138354890136
2.1790000000000003,26722.805944521562
2.18475,26859.259588673274
2.1905,26994.499600342642
2.19625,27128.526487595125
2.202,27261.34095118558
2.20775,27392.943882186755
2.2135,27523.33635962287
2.2192499999999997,27652.519648105375
2.2249999999999996,27780.495195469157
2.23075,27907.264630406793
2.2365,28032.82976009929
2.2422500000000003,28157.192567841375
2.248,28280.355210659814
2.25375,28402.320016923462
2.2595,28523.08948394378
2.26525,28642.66627556446
2.271,28761.053219739617
2.27675,28878.2533060992
2.2824999999999998,28994.269683501498
2.2882499999999997,29109.105657571577
2.294,29222.764688225663
2.29975,29335.25038718079
2.3055,29446.56651544973
2.3112500000000002,29556.716980820962
2.317,29665.705835323566
2.32275,29773.537272677422
2.3285,29880.21562572857
2.33425,29985.745363870115
2.34,30090.13109044911
2.34575,30193.37754015966
2.3514999999999997,30295.489576422893
2.35725,30396.472188754324
2.363,30496.33049011913
2.36875,30595.06971427625
2.3745000000000003,30692.69521311189
2.38025,30789.21245396322
2.386,30884.62701693328
2.39175,30978.944592197822
2.3975,31072.17097730507
2.40325,31164.312074469428
2.409,31255.373887860107
2.4147499999999997,31345.362520885552
2.4204999999999997,31434.284173475076
2.42625,31522.145139358407
2.432,31608.951803344447
2.43775,31694.71063860036
2.4435000000000002,31779.428203932024
2.44925,31863.11114106704
2.455,31945.76617194145
2.46075,32027.40009599124
2.4665,32108.01978744991
2.47225,32187.632192653087
2.4779999999999998,32266.244327351407
2.4837499999999997,32343.863274032916
2.4895,32420.496179255857
2.49525,32496.15025099324
2.501,32570.832755990035
2.50675,32644.551017134407
2.5125,32717.312410843686
2.51825,32789.12436446643
2.524,32859.99435370158
2.52975,32929.92990003554
2.5355,32998.93856819841
2.54125,33067.0279636403
2.547,33134.205730028465
2.55275,33200.47954676657
2.5585,33265.85712653667
2.56425,33330.346212865
2.57,33393.95457771221
2.5757499999999998,33456.69001908913
2.5815,33518.56035869861
2.58725,33579.57343960448
2.593,33639.73712392802
2.59875,33699.05929057303
2.6045,33757.54783297992
2.61025,33815.210656909534
2.616,33872.05567825735
2.62175,33928.09082089875
2.6275,33983.32401456565
2.63325,34037.76319275534
2.639,34091.41629067173
2.64475,34144.29124319982
2.6505,34196.39598291341
2.65625,34247.73843811691
2.662,34298.32653092121
2.66775,34348.168175354294
2.6734999999999998,34397.27127550676
2.67925,34445.64372371247
2.685,34493.29339876485
2.69075,34540.22816416874
2.6965,34586.455866428274
2.70225,34631.98433337092
2.708,34676.82137250758
2.71375,34720.9747694293
2.7195,34764.45228624039
2.72525,34807.261660028045
2.731,34849.410601368654
2.73675,34890.90679287078
2.7425,34931.75788775466
2.74825,34971.971508468465
2.754,35011.55524534103
2.75975,35050.51665527117
2.7655,35088.86326045338
2.7712499999999998,35126.6025471398
2.777,35163.74196443851
2.78275,35200.288923147666
2.7885,35236.25079462564
2.79425,35271.634909696775
2.8,35306.44855759264
2.8057499999999997,35340.69898492849
2.8115,35374.39339471476
2.81725,35407.53894540329
2.823,35440.142749968065
2.82875,35472.21187502011
2.8345,35503.75333995628
2.84025,35534.77411614161
2.846,35565.28112612498
2.85175,35595.28124288756
2.8575,35624.78128912394
2.86325,35653.788036555336
2.8689999999999998,35682.30820527472
2.87475,35710.348463123235
2.8805,35737.91542509776
2.88625,35765.015652789036
2.892,35791.65565385009
2.89775,35817.84188149423
2.9034999999999997,35843.580734022726
2.90925,35868.87855438115
2.915,35893.74162974425
2.92075,35918.176191129
2.9265,35942.188413035045
2.93225,35965.78441311236
2.938,35988.97025185552
2.94375,36011.751932324216
2.9495,36034.135399889405
2.95525,36056.12654200473
2.961,36077.731188002734
2.9667499999999998,36098.95510891526
2.9725,36119.80401731772
2.97825,36140.28356719666
2.984,36160.39935384008
2.98975,36180.1569137502
2.9955,36199.56172457796
3.0012499999999998,36218.61920507892
3.007,36237.3347150901
3.01275,36255.71355552706
3.0185,36273.76096840097
3.02425,36291.4821368551
3.03,36308.88218522018
3.03575,36325.96617908824
3.0415,36342.73912540439
3.04725,36359.20597257613
3.053,36375.371610599585
3.05875,36391.2408712024
3.0645,36406.81852800258
3.07025,36422.109296683
3.076,36437.11783518105
3.08175,36451.84874389294
3.0875,36466.30656589221
3.09325,36480.495787162115
3.0989999999999998,36494.420836841186
3.10475,36508.08608748179
3.1105,36521.49585532108
3.11625,36534.65440056401
3.122,36547.56592767786
3.12775,36560.23458569802
3.1335,36572.664468544426
3.13925,36584.859615348396
3.145,36596.82401078935
3.15075,36608.56158544114
3.1565,36620.07621612736
3.16225,36631.37172628556
3.168,36642.45188633972
3.17375,36653.32041408073
3.1795,36663.98097505448
3.18525,36674.43718295724
3.191,36684.69260003783
3.1967499999999998,36694.75073750638
3.2025,36704.61505594932
3.20825,36714.2889657501
3.214,36723.775827515565
3.21975,36733.07895250737
3.2255,36742.201603078356
3.2312499999999997,36751.14699311345
3.237,36759.918288474815
3.24275,36768.518607450875
3.2485,36776.95102120908
3.25425,36785.21855425196
3.26,36793.324184876255
