r_angstrom,bob_dimensionless
2.317,3.1392098621161036e-05
2.32275,2.944898812022802e-05
2.3285,2.7588206040813145e-05
2.33425,2.5808497571908203e-05
2.34,2.410848021336639e-05
2.34575,2.2486654927537293e-05
2.3514999999999997,2.09414170766282e-05
2.35725,1.9471067114586272e-05
2.363,1.8073821005196893e-05
2.36875,1.6747820340947984e-05
2.3745000000000003,1.549114214002717e-05
2.38025,1.430180830156329e-05
2.386,1.3177794701902866e-05
2.39175,1.2117039917311101e-05
2.3975,1.111745356099267e-05
2.40325,1.0176924224742454e-05
2.409,9.293327017842348e-06
2.4147499999999997,8.464530698025866e-06
2.4204999999999997,7.688404391418e-06
2.42625,6.962823900333323e-06
2.432,6.285677599669664e-06
2.43775,5.654871924368404e-06
2.4435000000000002,5.068336452027235e-06
2.44925,4.5240285862402215e-06
2.455,4.019937847611252e-06
2.46075,3.5540897806353033e-06
2.4665,3.1245494857720457e-06
2.47225,2.729424787048859e-06
2.4779999999999998,2.3668690464296552e-06
2.4837499999999997,2.0350836369723385e-06
2.4895,1.7323200874767396e-06
2.49525,1.4568819119005528e-06
2.501,1.207126137293963e-06
2.50675,9.814645443842075e-07
2.5125,7.783646352269646e-07
2.51825,5.963503425436813e-07
2.524,4.340024954822631e-07
2.52975,2.8995905658131543e-07
2.5355,1.6291514468867325e-07
2.54125,5.1622858489018e-08
2.547,-4.51090848621979e-08
2.55275,-1.2841588171511495e-07
2.5585,-1.9937733049443296e-07
2.56425,-2.59018663155119e-07
2.57,-3.083115061729326e-07
2.5757499999999998,-3.481749581086028e-07
2.5815,-3.794767712077023e-07
2.58725,-4.030346249495576e-07
2.593,-4.196174799336135e-07
2.59875,-4.2994700098638245e-07
2.6045,-4.346990388826841e-07
2.61025,-4.345051605975532e-07
2.616,-4.2995421853658363e-07
2.62175,-4.215939497290739e-07
2.6275,-4.099325965073942e-07
2.63325,-3.954405407344577e-07
2.639,-3.785519441763073e-07
2.64475,-3.5966638814665054e-07
2.6505,-3.391505060717523e-07
2.65625,-3.173396031362444e-07
2.662,-2.9453925767061207e-07
